date,turnover
1982-04-01,85.1
1982-05-01,85.1
1982-06-01,82.8
1982-07-01,82.1
1982-08-01,81.8
1982-09-01,84.6
1982-10-01,91.7
1982-11-01,97.7
1982-12-01,109.3
1983-01-01,94.6
1983-02-01,88.2
1983-03-01,92.0
1983-04-01,85.2
1983-05-01,86.8
1983-06-01,81.3
1983-07-01,85.6
1983-08-01,90.5
1983-09-01,90.8
1983-10-01,92.7
1983-11-01,95.8
1983-12-01,111.7
1984-01-01,92.7
1984-02-01,94.4
1984-03-01,97.8
1984-04-01,92.9
1984-05-01,101.0
1984-06-01,92.1
1984-07-01,92.5
1984-08-01,94.4
1984-09-01,90.4
1984-10-01,95.7
1984-11-01,100.6
1984-12-01,112.4
1985-01-01,96.3
1985-02-01,93.9
1985-03-01,98.0
1985-04-01,98.4
1985-05-01,101.8
1985-06-01,90.8
1985-07-01,98.3
1985-08-01,107.0
1985-09-01,103.2
1985-10-01,111.8
1985-11-01,112.3
1985-12-01,126.8
1986-01-01,113.8
1986-02-01,104.4
1986-03-01,109.7
1986-04-01,110.2
1986-05-01,118.0
1986-06-01,108.2
1986-07-01,123.5
1986-08-01,131.7
1986-09-01,132.9
1986-10-01,142.8
1986-11-01,138.3
1986-12-01,159.5
1987-01-01,138.9
1987-02-01,130.9
1987-03-01,136.3
1987-04-01,142.7
1987-05-01,144.2
1987-06-01,137.9
1987-07-01,149.0
1987-08-01,146.4
1987-09-01,146.4
1987-10-01,157.3
1987-11-01,155.3
1987-12-01,186.5
1988-01-01,143.3
1988-02-01,146.7
1988-03-01,159.6
1988-04-01,158.7
1988-05-01,151.7
1988-06-01,155.7
1988-07-01,154.0
1988-08-01,159.9
1988-09-01,165.3
1988-10-01,167.8
1988-11-01,176.4
1988-12-01,186.2
1989-01-01,167.2
1989-02-01,167.9
1989-03-01,180.6
1989-04-01,179.4
1989-05-01,182.9
1989-06-01,177.5
1989-07-01,183.3
1989-08-01,177.4
1989-09-01,188.3
1989-10-01,203.0
1989-11-01,203.6
1989-12-01,236.8
1990-01-01,198.3
1990-02-01,183.5
1990-03-01,204.6
1990-04-01,183.9
1990-05-01,183.5
1990-06-01,182.1
1990-07-01,193.4
1990-08-01,186.7
1990-09-01,182.9
1990-10-01,185.2
1990-11-01,183.1
1990-12-01,209.1
1991-01-01,187.8
1991-02-01,166.9
1991-03-01,174.1
1991-04-01,169.5
1991-05-01,177.7
1991-06-01,179.0
1991-07-01,179.0
1991-08-01,181.2
1991-09-01,183.2
1991-10-01,183.9
1991-11-01,189.0
1991-12-01,227.5
1992-01-01,192.3
1992-02-01,184.5
1992-03-01,197.9
1992-04-01,195.6
1992-05-01,193.9
1992-06-01,169.3
1992-07-01,177.9
1992-08-01,173.4
1992-09-01,190.6
1992-10-01,192.4
1992-11-01,195.4
1992-12-01,234.0
1993-01-01,207.4
1993-02-01,182.1
1993-03-01,191.1
1993-04-01,189.8
1993-05-01,192.1
1993-06-01,185.7
1993-07-01,200.2
1993-08-01,192.4
1993-09-01,195.1
1993-10-01,192.5
1993-11-01,202.3
1993-12-01,235.9
1994-01-01,194.1
1994-02-01,185.3
1994-03-01,194.6
1994-04-01,181.8
1994-05-01,179.9
1994-06-01,180.0
1994-07-01,194.6
1994-08-01,193.7
1994-09-01,206.0
1994-10-01,225.1
1994-11-01,219.9
1994-12-01,246.3
1995-01-01,222.3
1995-02-01,207.2
1995-03-01,238.1
1995-04-01,229.0
1995-05-01,222.4
1995-06-01,221.5
1995-07-01,225.4
1995-08-01,227.4
1995-09-01,233.4
1995-10-01,230.2
1995-11-01,240.4
1995-12-01,259.4
1996-01-01,239.1
1996-02-01,219.0
1996-03-01,238.4
1996-04-01,236.4
1996-05-01,235.6
1996-06-01,225.8
1996-07-01,229.9
1996-08-01,228.8
1996-09-01,219.2
1996-10-01,225.5
1996-11-01,233.3
1996-12-01,254.6
1997-01-01,242.1
1997-02-01,216.1
1997-03-01,249.9
1997-04-01,250.8
1997-05-01,252.7
1997-06-01,235.8
1997-07-01,237.5
1997-08-01,237.8
1997-09-01,235.0
1997-10-01,243.4
1997-11-01,238.5
1997-12-01,264.3
1998-01-01,241.5
1998-02-01,218.0
1998-03-01,245.4
1998-04-01,235.8
1998-05-01,240.2
1998-06-01,226.9
1998-07-01,248.4
1998-08-01,255.5
1998-09-01,248.0
1998-10-01,268.0
1998-11-01,260.5
1998-12-01,284.2
1999-01-01,267.7
1999-02-01,248.6
1999-03-01,283.3
1999-04-01,285.6
1999-05-01,299.1
1999-06-01,295.2
1999-07-01,321.5
1999-08-01,331.3
1999-09-01,340.2
1999-10-01,345.6
1999-11-01,352.3
1999-12-01,392.1
2000-01-01,331.1
2000-02-01,295.7
2000-03-01,337.2
2000-04-01,283.7
2000-05-01,308.9
2000-06-01,306.3
2000-07-01,301.3
2000-08-01,307.6
2000-09-01,296.9
2000-10-01,326.2
2000-11-01,324.8
2000-12-01,359.9
2001-01-01,336.3
2001-02-01,311.7
2001-03-01,358.4
2001-04-01,367.0
2001-05-01,354.4
2001-06-01,347.5
2001-07-01,371.3
2001-08-01,391.5
2001-09-01,349.1
2001-10-01,361.9
2001-11-01,366.2
2001-12-01,409.1
2002-01-01,385.2
2002-02-01,356.0
2002-03-01,399.2
2002-04-01,372.7
2002-05-01,368.8
2002-06-01,355.6
2002-07-01,414.5
2002-08-01,410.0
2002-09-01,392.5
2002-10-01,377.5
2002-11-01,393.1
2002-12-01,441.2
2003-01-01,446.4
2003-02-01,378.4
2003-03-01,418.4
2003-04-01,406.2
2003-05-01,426.2
2003-06-01,399.1
2003-07-01,449.0
2003-08-01,437.6
2003-09-01,434.9
2003-10-01,479.9
2003-11-01,473.8
2003-12-01,529.9
2004-01-01,478.1
2004-02-01,457.0
2004-03-01,499.3
2004-04-01,471.8
2004-05-01,468.5
2004-06-01,438.1
2004-07-01,468.4
2004-08-01,468.4
2004-09-01,490.9
2004-10-01,473.9
2004-11-01,463.0
2004-12-01,509.6
2005-01-01,432.0
2005-02-01,408.1
2005-03-01,436.7
2005-04-01,439.4
2005-05-01,430.9
2005-06-01,427.2
2005-07-01,451.1
2005-08-01,448.6
2005-09-01,441.9
2005-10-01,474.4
2005-11-01,474.2
2005-12-01,506.6
2006-01-01,468.2
2006-02-01,433.3
2006-03-01,503.8
2006-04-01,501.8
2006-05-01,522.5
2006-06-01,495.4
2006-07-01,507.1
2006-08-01,520.6
2006-09-01,513.5
2006-10-01,504.3
2006-11-01,528.6
2006-12-01,584.8
2007-01-01,523.9
2007-02-01,481.2
2007-03-01,545.1
2007-04-01,531.1
2007-05-01,510.3
2007-06-01,490.1
2007-07-01,497.6
2007-08-01,526.4
2007-09-01,494.6
2007-10-01,540.9
2007-11-01,547.9
2007-12-01,596.3
2008-01-01,539.6
2008-02-01,523.1
2008-03-01,550.6
2008-04-01,541.1
2008-05-01,548.6
2008-06-01,516.2
2008-07-01,541.8
2008-08-01,557.8
2008-09-01,537.3
2008-10-01,591.2
2008-11-01,584.0
2008-12-01,673.1
2009-01-01,647.8
2009-02-01,576.0
2009-03-01,634.5
2009-04-01,622.2
2009-05-01,631.6
2009-06-01,594.2
2009-07-01,613.4
2009-08-01,642.4
2009-09-01,615.6
2009-10-01,636.5
2009-11-01,654.1
2009-12-01,742.0
2010-01-01,657.9
2010-02-01,611.4
2010-03-01,704.2
2010-04-01,697.6
2010-05-01,692.0
2010-06-01,669.7
2010-07-01,724.2
2010-08-01,748.9
2010-09-01,735.8
2010-10-01,705.0
2010-11-01,693.9
2010-12-01,806.9
2011-01-01,649.4
2011-02-01,597.8
2011-03-01,689.6
2011-04-01,707.6
2011-05-01,699.1
2011-06-01,672.5
2011-07-01,694.0
2011-08-01,694.7
2011-09-01,686.9
2011-10-01,682.1
2011-11-01,681.5
2011-12-01,761.4
2012-01-01,638.4
2012-02-01,594.5
2012-03-01,679.6
2012-04-01,632.5
2012-05-01,666.8
2012-06-01,661.9
2012-07-01,676.4
2012-08-01,681.5
2012-09-01,662.4
2012-10-01,684.9
2012-11-01,707.0
2012-12-01,750.8
2013-01-01,655.5
2013-02-01,605.2
2013-03-01,683.2
2013-04-01,682.8
2013-05-01,682.0
2013-06-01,651.6
2013-07-01,656.7
2013-08-01,664.9
2013-09-01,665.7
2013-10-01,686.0
2013-11-01,707.5
2013-12-01,792.2
2014-01-01,721.2
2014-02-01,631.6
2014-03-01,725.5
2014-04-01,722.1
2014-05-01,718.8
2014-06-01,693.6
2014-07-01,753.8
2014-08-01,784.4
2014-09-01,791.9
2014-10-01,789.5
2014-11-01,778.2
2014-12-01,838.1
2015-01-01,786.6
2015-02-01,689.1
2015-03-01,753.4
2015-04-01,737.5
2015-05-01,740.3
2015-06-01,726.1
2015-07-01,780.8
2015-08-01,795.0
2015-09-01,795.8
2015-10-01,811.7
2015-11-01,832.6
2015-12-01,896.7
2016-01-01,790.8
2016-02-01,732.4
2016-03-01,793.3
2016-04-01,805.4
2016-05-01,808.9
2016-06-01,769.0
2016-07-01,828.7
2016-08-01,866.3
2016-09-01,878.3
2016-10-01,886.3
2016-11-01,879.5
2016-12-01,961.8
2017-01-01,861.4
2017-02-01,753.6
2017-03-01,868.4
2017-04-01,859.7
2017-05-01,845.2
2017-06-01,828.7
2017-07-01,857.6
2017-08-01,874.1
2017-09-01,872.4
2017-10-01,917.7
2017-11-01,925.7
2017-12-01,1008.1
2018-01-01,887.3
2018-02-01,810.6
2018-03-01,909.7
2018-04-01,898.6
2018-05-01,866.4
2018-06-01,873.1
2018-07-01,916.1
2018-08-01,943.8
2018-09-01,933.8
2018-10-01,960.0
2018-11-01,981.8
2018-12-01,1066.2
2019-01-01,937.3
2019-02-01,828.1
2019-03-01,948.5
2019-04-01,907.8
2019-05-01,919.1
2019-06-01,893.6
2019-07-01,924.8
2019-08-01,949.3
2019-09-01,935.7
2019-10-01,950.4
2019-11-01,979.6
2019-12-01,1075.2
2020-01-01,951.5
2020-02-01,894.6
2020-03-01,679.4
2020-04-01,400.6
2020-05-01,509.6
2020-06-01,642.4
2020-07-01,539.8
2020-08-01,422.7
2020-09-01,468.4
2020-10-01,555.9
2020-11-01,833.8
2020-12-01,999.9
2021-01-01,866.6
2021-02-01,762.2
2021-03-01,971.3
2021-04-01,964.1
2021-05-01,934.0
2021-06-01,811.4
2021-07-01,833.2
2021-08-01,742.4
2021-09-01,663.8
2021-10-01,823.7
2021-11-01,1030.0
2021-12-01,1095.7
2022-01-01,921.7
2022-02-01,971.2
2022-03-01,1127.5
2022-04-01,1128.6
2022-05-01,1161.9
2022-06-01,1133.4
2022-07-01,1193.6
2022-08-01,1199.3
2022-09-01,1227.2
2022-10-01,1243.6
2022-11-01,1263.6
2022-12-01,1400.0
2023-01-01,1258.5
2023-02-01,1180.1
2023-03-01,1392.0
2023-04-01,1355.2
2023-05-01,1362.4
2023-06-01,1309.7
2023-07-01,1348.4
2023-08-01,1397.4
2023-09-01,1387.9
2023-10-01,1409.8
2023-11-01,1402.9
2023-12-01,1508.8
2024-01-01,1358.3
2024-02-01,1294.8
2024-03-01,1438.5
2024-04-01,1389.5
